;ae_cnn;vae_cnn;aae_cnn;ae_lstm
latent_dimension;30.0;30.0;30.0;30.0
train_mse;2172.8040687646444;22962.062961667736;9067.401687625703;60788.08590200716
validation_mse;14872.86202992361;25556.639482800736;19803.4503919164;59024.27317162831
test_mse;12345.424731849294;25825.961465696895;18061.880857994904;56192.364138590965
reconstruction_resnet_train_accuracy;0.9490084985835694;0.9263456090651558;0.9235127478753541;0.5070821529745042
reconstruction_resnet_validation_accuracy;0.9378531073446328;0.8870056497175142;0.8813559322033898;0.5028248587570622
reconstruction_resnet_test_accuracy;0.9547511312217195;0.9411764705882353;0.9230769230769231;0.5113122171945701
reconstruction_simplecnn_train_accuracy;0.9759206798866855;0.9589235127478754;0.9376770538243626;0.4971671388101983
reconstruction_simplecnn_validation_accuracy;0.96045197740113;0.9322033898305084;0.8983050847457628;0.5084745762711864
reconstruction_simplecnn_test_accuracy;0.9638009049773756;0.9592760180995475;0.9366515837104072;0.502262443438914
reconstruction_knn_train_accuracy;0.9702549575070821;0.8427762039660056;0.8923512747875354;0.6147308781869688
reconstruction_knn_validation_accuracy;0.943502824858757;0.8418079096045198;0.8813559322033898;0.6045197740112994
reconstruction_knn_test_accuracy;0.9592760180995475;0.8009049773755657;0.8687782805429864;0.6018099547511312
