;resnet;simplecnn;knn;autoencoder
train_mse;0.0004269876175689483;0.1688050982135957;0.0;0.006989783298522551
train_accuracy;1.0;0.9453352769679301;1.0;
validation_mse;0.04064914085573443;0.18836874197987677;0.017475728155339806;0.008519299813775773
validation_accuracy;0.9922330097087378;0.9378640776699029;0.9825242718446602;
test_mse;0.26630826393157475;0.2654894328027367;0.14591109602986088;0.008655143893277484
test_accuracy;0.9246691550830684;0.8910756701831701;0.9009161859518154;
latent_dimension;;;;50.0
reconstruction_blackbox_accuracy_train;0.966690290574061;0.933380581148122;0.9822820694542878;
reconstruction_blackbox_accuracy_validation;0.9518413597733711;0.9348441926345609;0.9745042492917847;
reconstruction_blackbox_accuracy_test;0.9502262443438914;0.9095022624434389;0.9683257918552036;
