;ae_cnn;vae_cnn;ae_lstm
latent_dimension;50.0;50.0;50.0
train_mse;0.00698978342255501;0.02273252023319454;0.07036725209459825
validation_mse;0.008519299977649067;0.023885523452991393;0.0701701422878666
test_mse;0.008655143911833979;0.024456095940337853;0.07104185799741845
reconstruction_resnet_train_accuracy;0.966690290574061;0.8008504606661941;0.3465627214741318
reconstruction_resnet_validation_accuracy;0.9518413597733711;0.8016997167138811;0.34560906515580736
reconstruction_resnet_test_accuracy;0.9502262443438914;0.7737556561085973;0.33710407239819007
reconstruction_simplecnn_train_accuracy;0.933380581148122;0.8114812189936216;0.16796598157335224
reconstruction_simplecnn_validation_accuracy;0.9348441926345609;0.8243626062322946;0.1558073654390935
reconstruction_simplecnn_test_accuracy;0.9095022624434389;0.7895927601809954;0.16968325791855204
reconstruction_knn_train_accuracy;0.9822820694542878;0.7859673990077959;0.39900779588944013
reconstruction_knn_validation_accuracy;0.9745042492917847;0.8045325779036827;0.40793201133144474
reconstruction_knn_test_accuracy;0.9683257918552036;0.7782805429864253;0.3936651583710407
