;ae_cnn;vae_cnn;aae_cnn;ae_lstm
latent_dimension;2;2;2;2
train_mse;0.883184499;0.930612498;1.127801493;7.020803969
validation_mse;1.050434039;1.029267077;1.239848344;6.900021269
test_mse;1.049932781;1.048923767;1.263549222;6.812545078
reconstruction_resnet_train_accuracy;0.991304348;0.991304348;0.991304348;0.339130435
reconstruction_resnet_validation_accuracy;1;1;1;0.310344828
reconstruction_resnet_test_accuracy;1;1;1;0.333333333
reconstruction_simplecnn_train_accuracy;0.939130435;1;1;0.330434783
reconstruction_simplecnn_validation_accuracy;0.965517241;1;1;0.344827586
reconstruction_simplecnn_test_accuracy;0.888888889;1;1;0.333333333
reconstruction_knn_train_accuracy;1;1;1;0.330434783
reconstruction_knn_validation_accuracy;1;1;1;0.344827586
reconstruction_knn_test_accuracy;1;1;1;0.333333333
