;ae_cnn;ae_lstm
latent_dimension;40.0;40.0
train_mse;0.00028317791903092733;0.009423157542333763
validation_mse;0.0010495697196372521;0.014177413143062409
test_mse;0.0005397108675270228;0.007834466973879612
reconstruction_resnet_train_accuracy;0.9623188405797102;0.6376811594202898
reconstruction_resnet_validation_accuracy;0.9310344827586207;0.6091954022988506
reconstruction_resnet_test_accuracy;0.9722222222222222;0.6759259259259259
reconstruction_simplecnn_train_accuracy;0.9826086956521739;0.8028985507246377
reconstruction_simplecnn_validation_accuracy;0.9310344827586207;0.8390804597701149
reconstruction_simplecnn_test_accuracy;0.9722222222222222;0.7685185185185185
reconstruction_knn_train_accuracy;0.9826086956521739;0.782608695652174
reconstruction_knn_validation_accuracy;0.9770114942528736;0.8160919540229885
reconstruction_knn_test_accuracy;0.9629629629629629;0.7777777777777778
