;ae_cnn;vae_cnn;ae_lstm
latent_dimension;40.0;40.0;40.0
train_mse;0.00028317791903092733;0.021524177231466893;0.009423157542333763
validation_mse;0.0010495697196372521;0.032633959376465314;0.014177413143062409
test_mse;0.0005397108675270228;0.02130707584664045;0.007834466973879612
reconstruction_resnet_train_accuracy;0.9623188405797102;0.5420289855072464;0.6376811594202898
reconstruction_resnet_validation_accuracy;0.9310344827586207;0.6206896551724138;0.6091954022988506
reconstruction_resnet_test_accuracy;0.9722222222222222;0.5277777777777778;0.6759259259259259
reconstruction_simplecnn_train_accuracy;0.9826086956521739;0.6231884057971014;0.8028985507246377
reconstruction_simplecnn_validation_accuracy;0.9310344827586207;0.6206896551724138;0.8390804597701149
reconstruction_simplecnn_test_accuracy;0.9722222222222222;0.6388888888888888;0.7685185185185185
reconstruction_knn_train_accuracy;0.9826086956521739;0.7101449275362319;0.782608695652174
reconstruction_knn_validation_accuracy;0.9770114942528736;0.7701149425287356;0.8160919540229885
reconstruction_knn_test_accuracy;0.9629629629629629;0.6296296296296297;0.7777777777777778
