;ae_cnn;vae_cnn;aae_cnn;ae_lstm
latent_dimension;40.0;40.0;40.0;40.0
train_mse;0.00028317791903092733;0.02225370620358557;0.00041032873198414496;0.009423157542333763
validation_mse;0.0010495697196372521;0.03292453971446129;0.0013790889884065197;0.014177413143062409
test_mse;0.0005397108675270228;0.022486197397152154;0.0007416805488841062;0.007834466973879612
reconstruction_resnet_train_accuracy;0.9623188405797102;0.5594202898550724;0.9391304347826087;0.6376811594202898
reconstruction_resnet_validation_accuracy;0.9310344827586207;0.5747126436781609;0.8850574712643678;0.6091954022988506
reconstruction_resnet_test_accuracy;0.9722222222222222;0.6388888888888888;0.9259259259259259;0.6759259259259259
reconstruction_simplecnn_train_accuracy;0.9826086956521739;0.6115942028985507;0.9855072463768116;0.8028985507246377
reconstruction_simplecnn_validation_accuracy;0.9310344827586207;0.5402298850574713;0.9770114942528736;0.8390804597701149
reconstruction_simplecnn_test_accuracy;0.9722222222222222;0.5;0.9814814814814815;0.7685185185185185
reconstruction_knn_train_accuracy;0.9826086956521739;0.6927536231884058;0.9623188405797102;0.782608695652174
reconstruction_knn_validation_accuracy;0.9770114942528736;0.7241379310344828;0.9540229885057471;0.8160919540229885
reconstruction_knn_test_accuracy;0.9629629629629629;0.6481481481481481;0.9629629629629629;0.7777777777777778
